GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
790,51.1,35.1,10,54,8.1,WSW,30.19,0,0,Mostly Cloudy,0,0,-999,-9999
823,53.1,48,10,83,0,North,30.1,0,-9999,Clear,0,0,-999,-9999
844,48,33.1,10,56,5.8,North,30.16,0,-9999,Scattered Clouds,0,0,-999,-9999
859,68,39,10,35,9.2,South,30.17,0,-9999,Clear,0,0,-999,-9999
884,48,25,10,41,9.2,SW,29.95,0,-9999,Clear,0,0,-999,-9999
923,55.9,54,10,93,3.5,SSW,29.86,0,-9999,Overcast,0,0,-999,-9999
992,61,54,10,78,3.5,NE,30.25,0,-9999,Clear,0,0,-999,-9999
995,66,46,10,48,9.2,NNW,30,0,-9999,Clear,0,0,-999,-9999
1026,72,66.9,10,84,11.5,South,29.78,0,-9999,Mostly Cloudy,0,0,-999,-9999
1076,57,34,10,42,4.6,South,30.08,0,-9999,Clear,0,0,-999,-9999
1111,64,60.1,10,87,15,South,29.66,0,0,Overcast,0,0,-999,-9999
1155,28,23,10,81,8.1,East,30.22,0,-9999,Overcast,0,0,20,-9999
1187,53.1,45,10,74,15,SSW,29.86,0,-9999,Scattered Clouds,0,0,-999,-9999
1220,68,48,10,49,6.9,SSW,30.28,0,-9999,Partly Cloudy,0,0,-999,-9999
1235,78.1,45,10,31,17.3,West,29.84,0,-9999,Clear,0,0,-999,-9999
1280,62.1,48,10,60,0,North,30.06,0,-9999,Overcast,0,0,-999,-9999
1310,64.9,30.9,10,28,5.8,WSW,30.01,0,-9999,Clear,0,0,-999,-9999
1323,46,24.1,10,42,4.6,SSE,30.44,0,-9999,Clear,0,0,43.9,-9999
1335,44.1,35.1,10,71,10.4,West,30.05,0,-9999,Overcast,0,0,38.6,-9999
1394,43,28.9,10,58,8.1,ENE,30.53,0,-9999,Clear,0,0,38.2,-9999
1440,45,37,10,74,3.5,Variable,29.79,0,-9999,Clear,0,0,43.5,-9999
1460,72,48.9,10,44,11.5,NE,30.13,0,-9999,Partly Cloudy,0,0,-999,-9999
1493,73,60.1,10,64,10.4,ENE,30.05,0,-9999,Clear,0,0,-999,-9999
1507,69.1,48,10,47,6.9,SW,29.98,0,-9999,Clear,0,0,-999,-9999
1560,64.9,57.9,10,78,5.8,SW,30.03,0,-9999,Clear,0,0,-999,-9999
1586,48.9,46,10,90,0,North,30.27,0,0,Overcast,0,0,-999,-9999
1606,45,37.9,10,76,8.1,NE,30.24,0,-9999,Partly Cloudy,0,0,40.6,-9999
